Rank, ,Player,Position,Draft Age,Height,Wingspan,Weight,GP,MPG,PTS/G,AST/G,TOV/G,STL/G,BLK/G,ORB/G,DRB/G,TRB/G,PF/G,2P%,3P%,FT%,eFG%,TS%,USG%,AST%,TOV%,STL%,BLK%,ORB%,DRB%,TRB%,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
65,"<img src=""https://en.lkl.lt/media/players/175x200/d83df01748503af2e57a34be936971a1.png"" height=""40""></img>",Ariel Hukporti,Big,20.2,84,"7'2 1/2 """,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4683737.png"" height=""40""></img>",Nolan Hickman,Lead Guard,19.1,74,"6'6""",185,13,20.2,7.2,1.7,0.5,0.5,0.1,0.2,1.8,1.9,0.5,22,14,8,59.699999999999996,61.199999999999996,15.4,12.7,8.4,1.5,0.4,0.9,8.6,5.2,128.4,92.3,0.7,0.6,1.3,3.9,2.6,6.4
67,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592308.png&w=350&h=254"" height=""40""></img>",Hyunjung Lee,Wing,21.7,79.25,NA,210,12,29.9,17.5,2.3,1.6,0.6,0.1,0.8,5.6,6.4,2,39,34,30,63.4,66,26.7,14.5,10.7,1.2,0.4,3.7,21.7,13.3,125.5,97.3,1.6,0.6,2.2,7.7,-0.3,7.4
68,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701845.png&w=350&h=254"" height=""40""></img>",Kadary Richmond,Combo Guard,20.8,78,"6'9""",200,12,23,6.8,3.4,1.6,1.5,0.3,0.4,3.6,4,2.3,28,5,11,46.1,48.199999999999996,18.5,26.7,18.3,3.7,1.4,2,16.8,9.4,101.6,88.3,0.3,0.7,1,-0.2,4.4,4.2
69,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432885.png&w=350&h=254"" height=""40""></img>",Iverson Molinar,Combo Guard,22.6,75,NA,190,13,32.3,16.8,4.5,1.5,0.8,0.5,0.6,2.7,3.3,1.1,56,17,56,50.6,57.4,26.2,28.5,9.5,1.6,1.9,2.4,9.7,6.2,127.3,99.5,2,0.7,2.6,6.8,1.1,7.9
70,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4395712.png&w=350&h=254"" height=""40""></img>",Andrew Nembhard,Lead Guard,22.4,77,"6'5 1/2 """,193,13,30.5,8.5,4.5,2.2,1.8,0.2,0.5,2.3,2.8,1.7,29,15,8,49,50.1,16.9,21.8,20.2,3.2,0.7,2.2,7.4,5.1,104.5,88.6,0.5,1,1.6,1.6,3.7,5.3
71,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432239.png&w=350&h=254"" height=""40""></img>",Justin Lewis,Forward,20.2,79.25,"7'1 3/4 """,245,14,31.9,15.2,1.4,1.9,1.1,0.7,1,7,8,2.2,58,17,46,46.400000000000006,51,26.3,9.3,11.4,2,2.2,3.5,22,13.3,97.6,93.9,0.4,0.9,1.4,2,1.4,3.4
72,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433281.png&w=350&h=254"" height=""40""></img>",Hunter Sallis,Combo Guard,19.2,77,"6'8""",175,13,14.8,4.9,0.7,0.9,0.9,0.2,0.8,1.8,2.6,1.4,25,1,11,56.39999999999999,60.199999999999996,16.3,7.1,18.4,3.4,1,6.3,12.2,9.6,112.4,85.7,0.3,0.6,0.9,-0.2,4.4,4.2
73,"<img src=""https://i0.wp.com/thisisbasketball.world/wp-content/uploads/2020/04/Cazalon_Malcolm_Profile-189x198.png"" height=""40""></img>",Malcolm Cazalon,Wing,20.8,77.75,"6'10""",212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"<img src=""https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4687718.png"" height=""40""></img>",Josh Minott,Wing,19.6,80.5,"7'2""",190,12,10.6,5.2,0.5,0.8,0.8,0.6,1.3,1.4,2.7,1.6,23,2,10,66.7,67.2,19.9,9.7,16.3,3.8,6.2,14.1,14,14,124.9,90.9,0.4,0.3,0.7,5.2,4.4,9.6
